scoring_method,dataset,top_k_acc,ms2scorer,k
Only-MS$^2$,AU_003,5.173809523809524,MetFrag,1
LC-MS$^2$Struct,AU_003,8.0,MetFrag,1
MS$^2$+RT,AU_003,5.307142857142858,MetFrag,1
MS$^2$+logP,AU_003,3.651111111111111,MetFrag,1
MS$^2$+RO,AU_003,4.277777777777777,MetFrag,1
Only-MS$^2$,BML_000,3.1337151927455653,MetFrag,1
LC-MS$^2$Struct,BML_000,9.466666666666667,MetFrag,1
MS$^2$+RT,BML_000,2.821160303324913,MetFrag,1
MS$^2$+logP,BML_000,3.275099753693161,MetFrag,1
MS$^2$+RO,BML_000,4.111111111111111,MetFrag,1
Only-MS$^2$,BML_001,3.535531110625374,MetFrag,1
LC-MS$^2$Struct,BML_001,7.2,MetFrag,1
MS$^2$+RT,BML_001,4.591981755388653,MetFrag,1
MS$^2$+logP,BML_001,3.3148276831264605,MetFrag,1
MS$^2$+RO,BML_001,4.6,MetFrag,1
Only-MS$^2$,BS_000,11.978616435508904,MetFrag,1
LC-MS$^2$Struct,BS_000,17.04904761904762,MetFrag,1
MS$^2$+RT,BS_000,12.026756827321696,MetFrag,1
MS$^2$+logP,BS_000,12.527906103902877,MetFrag,1
MS$^2$+RO,BS_000,11.488888888888889,MetFrag,1
Only-MS$^2$,EA_000,12.13196956367952,MetFrag,1
LC-MS$^2$Struct,EA_000,28.133333333333333,MetFrag,1
MS$^2$+RT,EA_000,11.986315060960747,MetFrag,1
MS$^2$+logP,EA_000,14.076438746438745,MetFrag,1
MS$^2$+RO,EA_000,13.655555555555555,MetFrag,1
Only-MS$^2$,EA_001,14.533067370643677,MetFrag,1
LC-MS$^2$Struct,EA_001,26.866666666666667,MetFrag,1
MS$^2$+RT,EA_001,14.755347219572434,MetFrag,1
MS$^2$+logP,EA_001,15.369047619047619,MetFrag,1
MS$^2$+RO,EA_001,16.35555555555555,MetFrag,1
Only-MS$^2$,EA_002,4.419307494568247,MetFrag,1
LC-MS$^2$Struct,EA_002,10.758169934640522,MetFrag,1
MS$^2$+RT,EA_002,3.649849591766344,MetFrag,1
MS$^2$+logP,EA_002,7.12636165577342,MetFrag,1
MS$^2$+RO,EA_002,4.586274509803921,MetFrag,1
Only-MS$^2$,EA_003,7.950705690059785,MetFrag,1
LC-MS$^2$Struct,EA_003,18.35302497067203,MetFrag,1
MS$^2$+RT,EA_003,7.487742727096823,MetFrag,1
MS$^2$+logP,EA_003,8.484162895927602,MetFrag,1
MS$^2$+RO,EA_003,10.334094463996424,MetFrag,1
Only-MS$^2$,EQ_001,5.499232323232324,MetFrag,1
LC-MS$^2$Struct,EQ_001,13.066666666666666,MetFrag,1
MS$^2$+RT,EQ_001,5.632565656565657,MetFrag,1
MS$^2$+logP,EQ_001,8.183111111111112,MetFrag,1
MS$^2$+RO,EQ_001,8.433333333333334,MetFrag,1
Only-MS$^2$,EQ_003,7.07070707070707,MetFrag,1
LC-MS$^2$Struct,EQ_003,12.266666666666667,MetFrag,1
MS$^2$+RT,EQ_003,6.070707070707071,MetFrag,1
MS$^2$+logP,EQ_003,12.621176470588235,MetFrag,1
MS$^2$+RO,EQ_003,9.85699805068226,MetFrag,1
Only-MS$^2$,EQ_004,5.333333333333333,MetFrag,1
LC-MS$^2$Struct,EQ_004,11.8,MetFrag,1
MS$^2$+RT,EQ_004,5.2,MetFrag,1
MS$^2$+logP,EQ_004,6.533333333333333,MetFrag,1
MS$^2$+RO,EQ_004,8.315555555555557,MetFrag,1
Only-MS$^2$,EQ_006,5.466666666666667,MetFrag,1
LC-MS$^2$Struct,EQ_006,11.066666666666666,MetFrag,1
MS$^2$+RT,EQ_006,4.044444444444443,MetFrag,1
MS$^2$+logP,EQ_006,8.577777777777778,MetFrag,1
MS$^2$+RO,EQ_006,8.133333333333333,MetFrag,1
Only-MS$^2$,LQB_000,9.76465919701214,MetFrag,1
LC-MS$^2$Struct,LQB_000,27.90947712418301,MetFrag,1
MS$^2$+RT,LQB_000,13.98021128109363,MetFrag,1
MS$^2$+logP,LQB_000,9.76465919701214,MetFrag,1
MS$^2$+RO,LQB_000,13.541339869281044,MetFrag,1
Only-MS$^2$,LU_000,7.1096140886948165,MetFrag,1
LC-MS$^2$Struct,LU_000,12.16332686920922,MetFrag,1
MS$^2$+RT,LU_000,7.343040792709755,MetFrag,1
MS$^2$+logP,LU_000,6.081413334564595,MetFrag,1
MS$^2$+RO,LU_000,7.865716799540328,MetFrag,1
Only-MS$^2$,LU_001,7.473762960895314,MetFrag,1
LC-MS$^2$Struct,LU_001,10.750034279446044,MetFrag,1
MS$^2$+RT,LU_001,7.09154713750302,MetFrag,1
MS$^2$+logP,LU_001,7.862562274326981,MetFrag,1
MS$^2$+RO,LU_001,9.257735728323961,MetFrag,1
Only-MS$^2$,NA_003,2.800412327075572,MetFrag,1
LC-MS$^2$Struct,NA_003,14.666666666666666,MetFrag,1
MS$^2$+RT,NA_003,5.533745660408905,MetFrag,1
MS$^2$+logP,NA_003,3.449569782893461,MetFrag,1
MS$^2$+RO,NA_003,7.6,MetFrag,1
Only-MS$^2$,PR_000,10.159592474449022,MetFrag,1
LC-MS$^2$Struct,PR_000,22.078431372549023,MetFrag,1
MS$^2$+RT,PR_000,10.813616248391252,MetFrag,1
MS$^2$+logP,PR_000,11.943995546936723,MetFrag,1
MS$^2$+RO,PR_000,14.176470588235293,MetFrag,1
Only-MS$^2$,PR_002,8.401069989571917,MetFrag,1
LC-MS$^2$Struct,PR_002,15.250544662309368,MetFrag,1
MS$^2$+RT,PR_002,9.675068247891918,MetFrag,1
MS$^2$+logP,PR_002,8.512599854756719,MetFrag,1
MS$^2$+RO,PR_002,10.10639070442992,MetFrag,1
Only-MS$^2$,RP_001,6.013828996282529,MetFrag,1
LC-MS$^2$Struct,RP_001,13.333333333333334,MetFrag,1
MS$^2$+RT,RP_001,5.747162329615862,MetFrag,1
MS$^2$+logP,RP_001,5.688888888888889,MetFrag,1
MS$^2$+RO,RP_001,5.8,MetFrag,1
