scoring_method,k,n_models,top_k_acc
LC-MS$^2$Struct,1,4,13.0
LC-MS$^2$Struct,20,4,60.0
Only-MS$^2$,1,4,5.153846153846153
Only-MS$^2$,20,4,57.68091168091167
LC-MS$^2$Struct,1,5,13.0
LC-MS$^2$Struct,20,5,60.0
Only-MS$^2$,1,5,5.153846153846153
Only-MS$^2$,20,5,57.68091168091167
LC-MS$^2$Struct,1,6,11.0
LC-MS$^2$Struct,20,6,60.0
Only-MS$^2$,1,6,5.153846153846153
Only-MS$^2$,20,6,57.68091168091167
LC-MS$^2$Struct,1,7,11.0
LC-MS$^2$Struct,20,7,60.0
Only-MS$^2$,1,7,5.153846153846153
Only-MS$^2$,20,7,57.68091168091167
LC-MS$^2$Struct,1,8,11.0
LC-MS$^2$Struct,20,8,60.0
Only-MS$^2$,1,8,5.153846153846153
Only-MS$^2$,20,8,57.68091168091167
LC-MS$^2$Struct,1,1,14.000000000000002
LC-MS$^2$Struct,20,1,46.0
Only-MS$^2$,1,1,9.850980392156863
Only-MS$^2$,20,1,44.2962962962963
LC-MS$^2$Struct,1,2,16.0
LC-MS$^2$Struct,20,2,46.0
Only-MS$^2$,1,2,9.850980392156863
Only-MS$^2$,20,2,44.2962962962963
LC-MS$^2$Struct,1,3,18.0
LC-MS$^2$Struct,20,3,48.0
Only-MS$^2$,1,3,9.850980392156863
Only-MS$^2$,20,3,44.2962962962963
LC-MS$^2$Struct,1,4,16.0
LC-MS$^2$Struct,20,4,46.0
Only-MS$^2$,1,4,9.850980392156863
Only-MS$^2$,20,4,44.2962962962963
LC-MS$^2$Struct,1,5,16.0
LC-MS$^2$Struct,20,5,46.0
Only-MS$^2$,1,5,9.850980392156863
Only-MS$^2$,20,5,44.2962962962963
LC-MS$^2$Struct,1,6,16.0
LC-MS$^2$Struct,20,6,46.0
Only-MS$^2$,1,6,9.850980392156863
Only-MS$^2$,20,6,44.2962962962963
LC-MS$^2$Struct,1,7,16.0
LC-MS$^2$Struct,20,7,48.0
Only-MS$^2$,1,7,9.850980392156863
Only-MS$^2$,20,7,44.2962962962963
LC-MS$^2$Struct,1,8,16.0
LC-MS$^2$Struct,20,8,46.0
Only-MS$^2$,1,8,9.850980392156863
